de,dsb
Zweck des Katalogs ist es Interesse bei Fahrradfahrern zu wecken.,Zaměr kataloga jo zajm pla kólasarjow wubuźiś.
gültiger Reisepass mit aktueller Meldebescheinigung ,płaśecy drogowaŕski pas z aktualnym z wopismom pśebywalnego mjeldowanja  
Von dort wurde uns der entsprechende Bedarf signalisiert.,Wóttam su nam wótpowědnu pótrjebu signalizěrowali.
Im Dezember 2018 ist er in Berlin gestorben.,W decembrje 2018 jo wón w Barlinju zemrěł.
"Seht mal, hier ist wieder so ein Zeichen!","Glědajśo raz, how jo zasej  take znamje!"
Ein Gemeinderatsmitglied sprach sich ebenfalls klar für den Antrag der Vereine aus.,Gmejnski raźc wugronijo se tejerownosći jasnje za pšosbu towaristwow.
Dazu hat sich gestern der Schleifer Gemeinderat bekannt.,K tomu jo se cora Slěpjańska gmejnska rada wuznała.
Die Erzieherin besucht mit den Kindern Ausstellungen zur sorbischen Kultur.,Wótkubłaŕka woglědujo ze źiśimi do wustajeńcow k serbskej kulturje.
Das ist machbar!,To dajo se pśedpowědaś!
Am liebsten singen die Frauen und Männer in ihrer sorbischen Muttersprache.,Nejlubjej spiwaju žeńske a muske w swójej serbskej maminej rěcy.
In der Jugendfeuerwehr engagieren sich zwanzig Kinder und Jugendliche.,W młoźinskej wognjowej woborje angažěrujo se dwaźasća źiśi a młodostnych.
"  Service-Team des Bundesministeriums für Familie, Senioren, Frauen und Jugend","  serwisowy team Zwězkowego ministaŕstwa za familiju, seniory, žeńske a młoźinu"
Brauchen die Sorben ihr Parlament?,Trjebaju Serby swój sejm?
Die Rekonstruktion wurde im archäologischen Museum im Südtiroler Bozen hergestellt.,Rekonstrukcija jo se zgótowiła w Pódpołdnjowem  tirolskem archeologiskem muzeju Bozen.
"Falls erforderlich, sollte die Satzung entsprechend geändert werden.","Jolic jo trjeba, dejali se wustawki wótpowědnje změniś."
Das erste Konzert fand am 11. März 1743 statt.,Prědny koncert jo se  wótměł dnja 11. měrca 1743.
Erwachsene erfüllen jeden Tag eine Aufgabe.,Dorosćone dopołnjujo kuždy źeń jaden nadawk.
"Dort erfahren wir, wer Gesetze herausgeben kann.","Tam zgónijomy, chto móžo kazni wudawaś."
"Ein Pfarrer im Ruhestand hat gepredigt, der Chor Łužyca hat gesungen.","Faraŕ na wuměńku jo prjatkował, chor Łužyca jo spiwał."
Das haben wir sie gefragt.,To smy se jich pšašali.
mobile Add-ons, Mobilne dodanki
Wegen der Ergebnisse meiner Prüfung bin ich etwas traurig.,Dla wuslědkow mójogo pśespytowanja som pitśku tužna.
"Deshalb ist es an der Zeit, über Projekte nachzudenken.","Toś jo na casu, wó projektach rozmyslowaś."
"Auf dem Reiterhof, dort wo Kinder die Ferien erleben.","Na rejtaŕskem dwórje, tam źož źiśi prozniny dožywiju."
"Das Herz eines Archäologen blutet fürchterlich, meint unsere lachende Kuratorin.","Wutšoba archeologi tšachotnje kšawi, měni naša se smějuca kuratorka."
Ich sehe das nicht so.,Ja to tak njewiźim.
Zugleich bildete er Instrumentalisten in Königswartha aus.,Rownocasnje jo wón instrumentalistow w Rakecach wukubłał.
"Für die Teilnahme müssen Sie sich nur registrieren, was keine komplizierte Sache ist.","Za wobźělenje trjebaśo se jano registrěrowaś, což njejo wobśěžna wěc."
"Jede freie Minute nutzen sie, um die Ursachen der Abnahme zu erkunden.","Kuždu lichu minutu wóni wužywaju, aby zawiny wóteběranja wuslěźili."
Im Jahre 2021 möchte die Domowina die Bedeutung der regionalen Vielfalt hervorheben.,W lěśe 2021 co Domowina wuznam regionalneje wjelerakosći wuzwignuś.
Die Bürgerinitiative fordert deshalb ein Nachtarbeitsverbot an der tiefen Grube.,Wobydlaŕska iniciatiwa pomina  togodla zakaz nocnego źěła pśi dłymokej jamje.
Das ist richtig.,To jo pšawje.
 d) eine Ausbildung als Leiter von Kursen zur Wiederherstellung der Kraftfahreignung nachweisen., d) wuwucenje ako wjednik kursow k wótnowjenju jězdźaŕskeje gódnosći
Der Stimmzettel war sehr interessant.,Głosowański lisćik jo był wjelgin zajmny.
Abteilung Gesundheit  ,Wótźělenje strowje  
Warum wollen die Sorben damit nicht zufrieden sein?,Cogodla njekśě Serby z tym spokojom byś?
•  Ansprechpartner ist die Brandenburgische Architektenkammer,•  Kontaktowy partnaŕ jo Bramborska architektojska komora
Sie verbindet den Geburtstag Biedenkopfs mit der Neugründung des Freistaates Sachsen 1990.,Wóna zwězujo narodniny Biedenkopfa ze nowozałoženim Lichotnego stata Sakska 1990.
"So heißt es jedenfalls in der Koalitionsvereinbarung von CDU, SPD und Grünen.","Tak nanejmjenjej groni w koaliciskem dojadnanju CDU, SPD a Zelenych."
•  Antrag,•  Póžedanje
Was ist süß?,Co jo słodke?
"Also an einem Ort, der ihnen einen natürlichen Schutz bot.","Pótakem na městnje, kótarež jo zmóžnił jim pśirodny šćit."
Die sorbische Sprache verschwindet aus Ämtern und Schulen und aus der Öffentlichkeit.,Serbšćina zgubijo se ze amtow a šulow a ze zjawnosći.
Hast du mal mit einem Einwanderer gesprochen?,Sy ty raz z jadnym zasedlarjom powědała?
Bald ist der Advent wieder da.,Skóro jo adwent zasej how.
Einer von ihnen ist aus Crostwitz.,Jaden z nich jo z Chrósćic.
"Dazu nutzt man erneuerbare Energien, um Wasserstoff zu produzieren und ihn zu speichern.","Za to wužywaju wótnowjeńske energije, aby wóźik producěrowali a składowali."
Die Sorben sind mit einer Männer- und einer Frauenauswahlmannschaft vertreten.,Serby su z muskim a žeńskecym mustwom zastupjone.
Das ergänzte der Vorsitzende des Kulturbeirats.,To jo dodał pśedsedaŕ kulturneje pśirady.
Außerdem ist ein Treffen des Regionalvorsitzenden mit interessierten sorbischen Jugendlichen geplant.,Dalej jo planowane zmakanje župana ze zajmowanymi serbskimi młodostnymi.
Sie haben wieder eine Umfrage durchgeführt.,Wóni su zasej napšašowanje pśewjadli.
Denn in jeder Bildungseinrichtung gibt es andere Bedingungen.,Wšako maju na kuždem kubłanišću hynakše wuměnjenja.
Unsere Kanzlerin hatte damals wirklich als Christin gehandelt.,Naša kanclaŕka jo tegdy napšawdu ako kśesćijanka jadnała.
Auch bei der mehrfarbigen Variante in dieser Technik gehörte sie zu den Besten.,Teke we wjacebarbnej warianće teje techniki słuša wóna k nejlěpšem.
Die Domowina mit dem dazugehörigen WITAJ-Sprachzentrum beschäftigt sich mit der Thematik.,Domowina z pśirědowanym Rěcnym centrumom WITAJ se z tematiku zaběra.
"Wenn die Brautjungfer also rennen würde, würde es noch mehr klimpern.","Ga by družka malsnje gnała, by to hyšći wěcej klimpało."
"Dabei hilft es auch nicht, die Grünen nachzuahmen.","Pśi tom teke njepomaga, Zelenych napódobniś."
"• natürliche Person: nach Zeitaufwand, mindestens 26  €","• pśiroźbna wósoba: wótwisnje wót nałoženja casa, nanejmjenjej 26 euro"
"Geht die Sprache verloren, vergeht die Kultur mit.","Zgubijo-lic se rěc, kultura sobu zajźo."
% name% existiert bereits auf dieser Seite. Bitte geben Sie einen anderen Namen ein.,%name% w toś tom boku južo eksistěrujo. Zapódajśo druge mě.
Das meinte die Spremberger Bürgermeisterin und Mitglied des Zweckverbandes Schwarze Pumpe.,To měni grodkojska šołtowka a cłonk zaměrowego zwězka Carna Pumpa.
Wichtig ist auch die Transparenz beim Strukturwandel.,Wažna jo teke transparenca pśi strukturnej změnje.
Besonders schön ist die Reise auf der Allee im Frühling oder Herbst.,Wósebnje rědna jo jězba pó aleji w nalěśu abo nazymje.
Auf einem Ast sitzt ein Vogel. ,Na gałuzy sejźi ptašk. 
Die promovierte Phonetikerin beschrieb die Entstehung und den Einstieg in das Projekt.,Promowěrowana fonetikaŕka kreslašo nastaśe a zastup do projekta.
Neptun hat der jungen Frau aus dem Erzgebirge persönlich gratuliert.,Neptun jo młodej žeńskej z Rudnych górow wósobinski gratulěrował.
Wir haben in der letzten Sitzung eingehend darüber diskutiert und einen Beschluss verabschiedet.,Smy na minjonym pósejźenju dokradnje diskutěrowali a wobzamknjenje schwalili.
• Führungszeugnis: 13  Euro,• Policajske wopismo: 13 euro
An wen richten Sie sich mit dem Workshop?,Na kogo měriśo se ze swójim workshop?
Für Säuglinge und Kinder gibt das Ministerium einen Wert vo 500 Milligramm an.,Za seśeńske góletka a źiśi pódajo ministaŕstwo gódnotu 500 miligramow.
Die Tätigkeit des Lausitzer Druckhauses wird zum Ablauf des 31. Augustes 2017 beendet.,Źěłabnosć Łužyskeje śišćaŕnje se z wótběgom 31. awgusta 2017 zakóńcyjo.
Das ist ein alter Mercury aus dem Jahr 1957.,Jo to stary Mercury z lěta 1957.
• bei elektronischer Antragstellung: ,• pśi elektroniskem stajenju póžedanja: 
Mit der Umsiedlung beginnt für sie ein neuer Lebensabschnitt.,Z pśesedlenim zachopijo se za nich nowy žywjeński wótrězk.
Darüber informiert das dortige Umweltamt.,Wó tom informěrujo tamnjejše wobswětowe zastojnstwo.
Zu beantworten hatten die Verantwortlichen außerdem die Fragen der Mühlroser.,Wótegroniś su měli zagronite mimo togo na pšašanja Miłorazanow.
"• die Angabe, ob der Eingetragene als Dolmetscher oder Übersetzer tätig ist, ","• pódaśe, lěc zapisany źěła ako dolmetšaŕ abo pśestajaŕ, "
Zuvor war für die Katholiken eher die Krippe das Symbol für Weihnachten.,Pjerwjej jo katolikam skerjej Bóže kórytko znamje za gódy.
Auf dem Kopf trägt er einen Zylinder. ,Na głowje ma cylinder. 
"Es droht ein Bruch des Kohlekompromisses, sagte Haseloff Magdeburger Journalisten.","Grozy łamk wuglowego kompromisa, jo gronił Haseloff Magdeburgskim žurnalistam."
"Öffentlich über Probleme zu sprechen, das nennt sich demokratischer Diskurs.","Zjawnje wó problemach powědaś, to groni se demokratiski diskurs."
Dabei ist an ihrem Stuhl ein Brett angebracht.,Pśi tom maju pśi swójich stołkach delku pśicynjonu.
Warum protestieren die Schüler während der Unterrichtszeit und nicht am Wochenende?,Cogodla protestuja wukniki za cas wucby a nic kóńc tyźenja?
"Oh Gott, habe ich denn den Verstand verloren?","Mój Bog, som ga ja rozym zgubiła?"
Unter anderem könnten wir kleinere und Splitterflächen verkaufen.,Mjazy drugim mógali małe a rozdrosćone płoniny pśedaś.
Die diesjährige Neuausgabe ist ein Buch für die 7. Klasse.,Lětosne nowowudaśe su knigły za 7. lětnik.
Personalfragen interessieren mich überhaupt nicht.,Personalne pšašanja mě scełego njezajmuju.
Die Zäune bieten keinen vollkommenen Schutz.,Płoty njezarucuju dopołny šćit.
Das Energieunternehmen LEAG hat das Projekt unterstützt.,Energijowe pśedewześe LEAG jo projekt pódpěrało.
Die Sonne blickte für kurze Zeit durch die Wolken.,Słyńco jo  krotko  pśez mrokawy glědało.
Die Baumkronen boten Schutz vor Schnee und Regen.,Krony bomow su dawali šćit pśed sněgom a dešćom.
Rückblickend ist das ein Gewinn.,Slědk glědajucy jo to wudobytk.
Er soll eines Tages die Touristen durch den Schuster-Hof führen.,Ten ma jadnogo dnja turistow pó Šusterowem dwórje wóźiś.
Die Vorbereitungen auf die Europeada beginnen.,Pśigóty na europeadu se zachopiju.
"Gleichzeitig hatten wir den Eindruck, dass sich die Diskussion hinzieht.","Rownocasnje smy měli zaśišć, až se diskusija komuźijo."
Die Männer aus dem Dorf hatten dort keinen Zutritt.,Gólce ze jsy njejsu tam žeden pśistup měli.
Bei den Menschen hat jedes Dorf eine etwas andere Tracht.,Pla luźi ma kužda wjas pitśku hynakšu drastwu.
Die touristische Nutzung der Gewässer ist für die Weiterentwicklung des Lausitzer Seenlands sehr wichtig.,Turistiske wužywanje wódow jo za dalejwuwiśe Łužyskeje jazoriny wjelgin wažne.
Etwas solches hat es bisher noch nicht gegeben.,Take něco doněnta hyšći njejo było.
Er hat den außerordentlichen Kongress am 17. März 1990 mit vorbereitet.,Wón jo wurědny kongres 17. měrca 1990 sobu pśigótował.
Wir waren kürzlich zum Skatnachmittag in Crostwitz.,My smy njedawno byli na kórtowem wótpołdnju w Chrósćicach.
Wir brauchen die Wahrheit über die Vergangenheit.,Trjebamy wěrnosć wó zachadnosći.
Parallel zu der Ausstellung startet eine Workshop-Reihe rund um das Ostereierverzieren.,Paralelnje k wustajeńce zaběži rěd workshopow kołowokoło debjenja jajkow.
Außerdem wird ein Kulturprogramm vorbereitet.,Mimo togo pśigótujo se kulturny program.
Alenka schaudert es: „Die Baumstümpfe im Wasser sehen aber gespenstisch aus!“ ,Alenka se bój: „Pjenki we wóźe pak bejnje tšaše!“ 
"Ich kann überhaupt nicht verstehen, wie jemand fremdenfeindlich sein kann.","Njamóžom scełego zrozměś, kak móžo něchten napśeśiwo cuzym winikojski byś."
Damals sah ich meinen Ehemann weinen.,Tegdy wiźech swójogo manźela płakaś.
Im Finale sollten sie gegen Spanien antreten.,We finalu su měli pśeśiwo Špańskej nastupiś.
"Die Konzentration, Gefühl für Rhythmus und Mannschaftsgeist sind wichtig.","Koncentracija, zacuśe za rytmus a mustwowy duch su wažne."
Zum ersten Mal entstand ein Bewusstsein der Museen.,Prědny raz jo nastało wědobnje muzejow.
Der Weihnachtsbaum hat sich von Deutschland aus in der ganzen Welt verbreitet.,Gódowny bom jo se z Nimskeje pó cełem swěśe rozšyrił.
So ein Einkleiden der Brautjungfer dauert anderthalb Stunden.,Take zdrastwjenje družki trajo połtera góźiny.
regional unterschiedlich ,regionalnje wšako 
Inzwischen sind im sorbischen Siedlungsgebiet zweisprachige Verkehrs- und Ortsschilder selbstverständlich.,Mjaztym se w serbskem sedleńskem rumje dwójorěcne wobchadowe a wejsne tofle wót samego rozměju.
Die Wunde ist nicht verheilt.,Rana njejo hyšći njezagójta.
Wenn ich doch nur durchs Fenster etwas sehen könnte!,Gdy jan by pśez wokno něco wiźeś mógał!
Sie haben die Zeit nach der Braunkohle behandelt.,Wóni su cas pó brunice wobjednawali.
Der zweite Schritt bestand in der Erstellung eines sorbisch- und deutschsprachigen Fragebogens.,Druga kšaceń jo wobstojała w zestajenju serbsko- a nimskorěcnego napšašnika.
Das ist bitter.,To jo górke.
Die Schule ist in Ebersbach.,Šula jo w Habrachćicach.
"Wir müssen konsequent bleiben, wir können unseren Beschluss nicht einen Monat später zurückziehen.","Musymy konsekwentne wóstaś, njamóžomy swóje wobzamknjenje mjasec pózdźej anulěrowaś."
"Das Dach steht nicht über dem Haus, sondern ist ein Teil des Hauses.","Kšywo njestoj wušej doma, ale jo źěł doma."
"Ja, so eine Wallanlage war ein guter Schutz.","Jo, take groźišćo jo był dobry šćit."
Noch Anfang der 1960-er Jahre lebten hier rund 540 Menschen.,Hyšći zachopjeńk 1960-tych lět bydlašo how něźi 540 luźi.
"Ich möchte noch hinzufügen, dass wir weiterhin Lehrlinge suchen.","Cu hyšći dodaś, až dalej wuknjeńcow pytamy."
Julka reicht ihr ein saures Gürkchen. ,Julka pódajo jej kisału górku. 
Wie ist das Schulleben abgelaufen?,Kak jo šulske žywjenje wótběžało?
Domowina – Bund wendischer Vereine wurde in Hoyerswerda gegründet., Domowina – Zwězk serbskich towaristwow jo se załožyła we Wórjejcach.
Das haben die Mitglieder des Stiftungsrates beschlossen.,To su cłonki rady Załožby wobzamknuli.
Problematisch ist in Trebendorf aber die Gastronomie.,Problematiska pak jo w Trjebinje gastronomija.
Ich will auch mal Brautjungfer sein!,Ja cu teke raz družka byś!
Am Montag findet eine Kleine Anfrage im Parlament statt.,Pónjeźele buźo  Małe napšašowanje w parlamenśe.
EUR: 5  bis 50,wót 5 do 50 euro
Zum Theaterspiel wurde ein zweisprachiger Bildband herausgegeben.,K źiwadłowemu graśu su se wudali dwójorěcne knigły z wobrazami.
"Ich nähre das Feuer mit jedem Text, den ich schreibe.","Seśim wogeń z kuždym tekstom, kenž pišom."
Die Verordnung zur Ausführung des Brandenburgischen Dolmetschergesetzes finden Sie unter: ,Wustajenje k wuwjeźenju bramborskeje dolmetšaŕskeje kazni namakajośo pód: 
Was war den Schülern wichtig?,Co jo było wuknikam wažne?
Die Maßnahme wurde vom Konzern Vattenfall gefördert.,Napšawa jo była wót koncerna Vattenfalla spěchowana.
Sie hätten sonst nie so ein Medieninteresse erfahren.,Wóni njeby howac žednje tak wjele zajima medijow žnjeli.
Eintragung in das Wählerverzeichnis zur Bundestagswahl  beantragen.,Zapisanje do wuzwólowaŕskego zapisa za wolby do Zwězkowego sejma póžedaś.
Die Feststellungen und Änderungen des Wirtschaftsplanes sind über das Jahr hin möglich.,Zwěsćenja a změny góspodaŕskego plana su pśez lěto sem móžne.
Die Firefox-Erweiterung verwaltet Ihre Startseite.,Rozšyrjenje  Firefox waš startowy bok wóźi.
Die Spreewald-Fließe sind unter anderem auch den Sorben zu verdanken. ,Błośańske tšugi eksistěruju mjazy drugim teke źěkowano Serbam. 
• Nachweis über die Höhe des Arbeitsentgeltes ,• Dopokaz wusokosći źěłowego myta 
Das war Anfang und Ende einer Lausitzer Institution.,To jo był zachopjeńk a kóńc Łužyskeje institucije.
Ausländerfeindlichkeit ist in Sachsen ein großes Problem.,Njepśijaśelskosć napśeśiwo wukrajnikam jo w Sakskej wjeliki problem.
"Denn sie wissen genau, was ein Unternehmen für eine gesunde Entwicklung benötigt.","Dokulaž wóni dokradnje wěźe, co pśedewześe za strowe wuwiśe trjeba."
Viele Künstler und Meister begaben sich ins Exil.,Wjele wuměłcow a mejstarjow su se wudali do eksila.
• Verlängerung der Eintragung nach 5 Jahren: 50  €,• Pódlejšenje zapisanja pó 5 lětach: 50 euro
Mit dem Wasser werden insbesondere die Kommunen um Frankfurt/Oder versorgt.,Z wódu zastaruju se pśedewšym komuny wokoło Frankfurta nad Odru.
Damit folgte der Gemeinderat der Empfehlung des Ortschaftsrates Klitten.,Z tym jo slědowało gmejnska rada pórucenje klětnjańskeje wejsneje rady.
"Wir wollen eigentlich nur die, welche mitmachen.","Comy pópšawem jano tych, kenž sobu cynje."
"Antragstellende Person ab 24 Jahren 28,80 Euro (10 Jahre gültig) ","Póžedarje wót 24 lět a starše - 28,80 euro (płaśi 10 lět) "
Gekommen waren auch die sorbenpolitischen Sprecher der SPD und der Linken.,Přišłoj stej byłej teke serbskopolitiskaj rěcnika SPD a Lěwicy.
Das Forum ist für alle Interessenten offen.,Forum jo wšym zajmcam pśistupny.
Übernehmt die Verpflichtung von Gästen an diesem Abend!,Pśewzejśo angažowanje gósći na toś tom wjacorku!
• meist persönliches Erscheinen erforderlich,• za wětšy part jo trjeba  pó njen wósobinski pśiś
"Alle Ideen sind erlaubt, der Kreativität sind keine Grenzen gesetzt.","Wšykne mysli su dowólone, kreatiwnosći njejsu žedne granice stajone."
"Sie sind jetzt der Meinung, dass man die Einladungen nicht einfach ablehnen könne.","Wóni su něnto měnjenja, až njamógu pśepšosenje ceło jadnorje wótpokazaś."
• Vertretungsmacht der Gesellschafter  ,• zastupniska móc towarišnikow  
Heute sind die Perlennetze sehr bunt und das Perlennetz ist länger.,Źinsa su setki wjelgin pisane a setka jo dlejša.
•  Vorliegen der Voraussetzungen des § 6 Abs. 2 HwO,•  Dopołnjenje kriterijow § 6 póstawk 2 pórěda HwO
Ein Leben ohne Regeln?,Žywjenje bźez pšawidłow?
Das ist zum B. die Vergabe von Auftragswerken.,To jo na pśikład wuźělenje nadawkowych twórjenjow.
Mit jedem weiteren Euro setzen wir das Begonnene fort.,Z kuždym dalšnym euro pókšacujomej z tym zachopjonym.
"Meine Großmutter wohnt in Ebersbach, deshalb fahre ich dort oft hin.","Mója starka bydli w Habrachćicach, togodla tam cesto dojědu."
Das erleben wir bei den Sorben vor allem Ostern oder zu Fronleichnam.,To dožywijomy w Serbach wósebnje jatšy abo na Bóže śěło.
Der Aussichtsturm bietet einen schönen Blick auf Ebersbach.,Rozglědny torm pódajo rědny wid na Habrachćicy.
Keine weitere Störung der Totenruhe auf dem Friedhof!,Žedne dalšne mólenje wumarłych na kjarchobje!
Das kommt bestimmt nie mehr zurück.  ,Ten zawěsće nigdy njepśiźo slědk.
Wir brauchen auf schnellstem Wege Planungssicherheit.,Trjebamy pó nejspěšnjejšem puśu planowańsku wěstotu.
Die Interessen der Minderheiten lassen sich gut in die Bestehenden Strukturen einbauen.,Zajmy mjeńšynow by se dali derje do wobstojecych strukturow zarědowaś.
"Selig sind die Friedfertigen (Mat 5,9) lautet ein Vers."," Zbóžne su te měrniwe (Matej 5,9), groni jaden napis."
• Formular: Weiterleistungs- bzw. Erhöhungsantrag: https://secure.service.brandenburg.de/intelliform/forms/wohngeld/wohngeld/lastenzuschuss/index,•  Póžedański formular za dalejwupłaśowanje abo za pówušenje bydleńskich pjenjez: https://secure.service.brandenburg.de/intelliform/forms/wohngeld/wohngeld/lastenzuschuss/index
Der Landkreis Görlitz reagiert darauf.,Wokrejs Zgórjelc na to reagěrujo.
Doch wie ist das mit den Schülern?,Weto kak jo to ze wuknikami?
Bei Polks wohnt im Nachbargebäude ein Einwanderer.,Pla Pólkec bydli w pódlańskem twarjenju zasedlaŕ.
Daran wir derzeit gezielt gearbeitet.,Na tom tuchylu zaměrnje źěłaju.
"Deshalb haben die Leute schon aus der Ferne gehört, dass sich eine Brautjungfer nähert.","Togodla su luźe wótdaloka južo słyšali, až se družka bližy."
"Hier ist es nach ihren Worten notwendig, etwas zu verbessern.","How jo pó jeje słowach trjeba, něco pólěpšyś."
Die Konzeption des Katalogs ist fortschrittlich.,Zapołoženje kataloga jo doprědkaŕske.
Wir gehen raus in den Garten.,Źomy wen do zagrody.
"Der Seenland-Zweckverband hat das Ziel, an die guten Ergebnisse anzuknüpfen.","Zaměrowy jazorinowy zwězk ma zaměr, na dobre wuslědki nawězaś."
Gebühr für Beurkundung und Rundstempel: 65  €,płaśonk za amtske zapisanje a kulowaty štempel: 65 euro
◦ gültiger Reisepass mit aktueller Meldebescheinigung ,◦ płaśecy drogowaŕski pas z aktualnym z wopismom pśebywalnego mjeldowanja  
Ebenso könnten verschiedene kulinarische Spezialitäten einbezogen werden.,Rowno tak by se dali wšelke kulinariske speciality zapśimjeś.
Das bestätigte die Abteilungsleiterin für Sprachentwicklung und Pädagogik unserem Abendblatt.,To jo wobkšuśiła wjednica wótźělenja za wuwijanje rěcy a pedagogiku našomu wjacornikoju.
Zumindest bereiten sie sich mit voller Kraft auf die Passionsspiele vor.,Nanejmjenjej pśigótuju se z połnej paru na pasiońske graśa.
• Ausstellen der Erlaubnis        150  – 300  EUR,"• Wudaśe dowólnosći: 150,00 – 300,00 euro"
Außerdem ist die Novellierung des Bundesbergbaugesetzes notwendig.,Mimo togo jo nowelěrowanje zwězkowej górnistwowej kazni trjebne.
Von dort aus ziehen sie zum Hauptgebäude der LEAG.,Wóttam póśěgnu ke głownemu twarjenju LEAG.
Krabat heißt das neue sorbische Computerspiel.,Krabat groni nowemu serbskemu computerowemu graśu.
"Das ist keine Forderung, sondern ein Wunsch.","Njejo to pominanje, ale žycenje."
Früher ging man nicht in schwarz zur Beerdigung.,Něga njejsu carne zdrastwjone na zakopowanje šli.
„In den Spreewald.“ ,„Do Błotow.“ 
Das Bundestatistikamt veröffentlicht bald die Wahlergebnisse aller Bundesländer.,Zwězkowy statistiski amt  wózjawijo skóro wólbne wuslědki wšyknych zwězkowych krajow.
"Man fragte sich, welche Ziele er sich ausgesucht hatte.","Pšašanje jo jano było, kótare cile jo sebje  wupytał."
Darauf wies er jetzt schon hin.,Na to wón južo něnto pokazujo.
In den Reiseführer werden auch Übernachtungsmöglichkeiten und Veranstaltungstermine aufgenommen werden.,Do pśewódnika zapisane budu tejerownosći móžnosći pśenocowanja a terminy zarědowanjow.
In diesem Jahr können sich die Teilnehmer über digitale Möglichkeiten der touristischen Vermarktung informieren.,Lětosa mógu se wobźělniki wó digitalnych móžnosćach turistiskego zwikowanja wobgóniś.
Gegründet wurde Ebersbach im dreizehnten Jahrhundert von Siedlern.,Załožone buchu Habrachćicy w tśinastem stolěśu wót sedlarjow.
Die Kinder dürfen eine Sprache frei wählen.,Źiśi směju jadnu rěc lichotnje wubraś.
Die Hauptreligion in Ebersbach ist der Protestantismus.,Głowna nabóžnina w Habrachćicach jo protestantizm.
Wann wird er ein ethnisch spezifischer sorbischer Tanz?,Gdy jo wóna  etniski specifiska serbska reja?
Für das Eröffnungsprogramm sind Bestellungen an der Theaterkasse möglich.,Za wótwórjeński program su skazanki pśi źiwadłowej kasy móžne.
"Wir sind sehr verschieden, und doch haben wir etwas gemeinsam.","Smy wjelgin wšake, a tola mamy něco zgromadnego."
Da reicht ein Bett bei weitem nicht aus.,To jadna póstola scełego njedosega.
Die Grünen-Abgeordnete im brandenburgischen Landtag fordert Konsequenzen.,Wótpósłańcka Zelenych w bramborskem krajnem sejmje pomina sebje konsekwence.
Sie haben Wasser in schweren Eimern aus dem Brunnen ins Haus getragen.,Su wódu w śěžkich zbórkach ze studnje do domu nosyli.
"In Zukunft wird es möglich sein, sorbische Lieder zu streamen.","W pśichoźe buźo móžno, serbske spiwy streamowaś."
