de,hsb
"Lieber Kryštof, danke, ach du auch?","Luby Kryštofo, dźakuju so, ach ty tež?"
Die Geburtenkontrolle und die Durchsetzung der Ein-Kind-Familie bewirken ein langsameres Wachstum.,Kontrole porodow a přesadźenje jednodźěsćoweje swójby wuskutkuja pomałši rozrost.
Das Einschenken des Kaffees sollte ohne Tropfen möglich sein.,Naliwać. Naliwanje kofeja měło bjez kapanja móžne być.
Ich war immer ehrenamtlich in der Lebensmittelausgabestelle um die Ecke tätig.,Sym přeco čestnohamtsce we wudawarni zežiwidłow za róžkom dźěłał.
Zu den Nichtmineralen zählt man Nährstoffe und Schadstoffe.,K njemineralam ličimy wutki a škódne maćizny.
Oftmals hat das keine guten Folgen für die Umwelt.,Často nima to žane dobre sćěhi za wobswět.
"Martha im Vergleich dazu strengte sich an, um ein Ei zu legen.","Marta porno tomu so napinaše, zo by jejko znjesła."
"Sie sollten zum Garanten einer neuen, friedlichen Weltordnung werden.","Woni měli so stać z garantom noweho, měrliweho swětoweho porjada."
Die Wallanlage war wohl viel massiver als gedacht.,"Hrodźišćo drje bě wo wjele masiwniše, hač su sej myslili."
Das klingt gravitätisch und überhöht den Tod.,To klinči grawitetisce a wosławja smjerć.
Sie schnitt den Eisbergsalat in mundgerechte Stücke für den Burger.,Wona nakra praskotacu solotej na fiderki za burger.
Zurück in die Großstadt nach Hause.,Wróćo do wulkoměsta domoj.
"All das hilft aber nichts, wenn die Umwelt nicht beachtet wird.","Wšo to pak ničo njepomha, hdyž so wobswět njewobkedźbuje."
Dafür haben wir eine demokratische Alternative: die CDU.,Za to mamy demokratisku alternatiwu: CDU.
"Du hast gewonnen, ich bin besiegt.","Ty sy dobyła, ja sym přewinjena."
Warum sollten sich die Kinder vor mir fürchten?,Čehodla měłe so dźěći přede mnu bojeć?
Bekannte Dynastien sind zum Beispiel die Hohenzollern oder die Habsburger.,Znate dynastije su na přikład Hohenzollerojo abo Habsburgojo.
Hier einige Hinweise zum Sammeln von Gesteinen.,Tu někotre pokiwy za zběranje kamjeniznow.
"Wissen Pětr und Janina, dass du keine Nüsse verträgst?","Wěstaj Pětr a Janina, zo žane worjechi njeznjeseš?"
Was macht der Schlangenkönig nicht?,Što hadźacy kral nječini?
Ich möchte außer dem Feld auch noch andere Beschäftigungen haben.,Chcu tež hišće druhe zaběry měć nimo pola.
"Ebert wurde ein stiller, ein fast entrückter Präsident.","Ebert bu z ćichim, nimale wotsalenym prezidentom."
Von manchen dieser Spülmaschinen lässt sich die Arbeitsplatte abnehmen.,Wot někotrych z tutych wopłokowanskich mašinow hodźi so dźěłowa plata wotewzać.
Es soll uns heute um das Problem unmittelbar im Maul der Rinder gehen.,Njech dźe nam dźensa wo problem bjezposrědnje w klamje howjadow.
Der Fachbegriff dafür ist Karikatur.,Fachowe zapřijeće za to je karikatura.
Hebele doch das gebührenfinanzierte staatstreue Fernsehen die Unparteilichkeit der Sender aus.,Wuzběhny dźě přez popłatki financowana statej swěrna telewizija njestronitosć sćelaka.
"Symbole: Gibt es typische Zeichen/Symbole (z. B. Geldsack, Friedenszeichen)?","Symbole: Eksistuja typiske znamjenja/symbole (na př. měch z pjenjezami, znamjenja měra)?"
Dieser sogenannte „Bundeszwang“ ist die Ultima Ratio.,Tute tak mjenowane „zwjazkowe nuzowanje“ je ultima ratio.
"Er wird uns helfen, sodass wir das alles lösen.","Wón budźe nam pomhać, zo to wšitko wuhódamy."
Sie können nur gewaltsam gestoppt werden.,Woni móža so jenož namócnje zadźeržeć.
Leipzig ist eine Großstadt im Freistaat.,Lipsk je wulkoměsto w Swobodnym staće.
Andere Modelle haben statt des Tuchs rotierende Wischpads.,Druhe modele maja město hadrješća rotěrowace trějace pucki.
Schlechter Start: Die Parteien unterfordern die Wähler.,Hubjeny start: Strony wot wolerjow přemało žadaja.
"Groß Partwitz existiert nicht mehr, das Dorf wurde zum Opfer des Tagebaus.","Parcow pak hižo njeeksistuje, wjes bu z woporom wuhloweje jamy."
Euch allen gebührt unser herzlicher Dank.,Wam wšěm słuša naš wutrobny dźak.
"Hier aber hat er eine Tür geöffnet, wenigstens einen Spaltbreit.","Tu pak je wón durje wočinił, znajmjeńša na škałobu šěroke."
Die Hälfte der Institutionen stützt sich nur auf ehrenamtliche Mitarbeiter und Minijobber.,Połojca institucijow zepěra so jenož na čestnohamtskich sobudźěłaćerjow a minijobowarjow.
In Burkau war er bis zum Abgang in den Ruhestand tätig.,W Porchowje skutkowaše hač do wotchada na wuměnk.
Eine weiche Matratze kann der Wirbelsäule genauso gut Halt geben wie eine harte.,Mjechka matraca móže rjap runje tak derje podeprěć kaž kruta.
Natürlich sind die Unterschiede groß.,Wězo su rozdźěle wulke.
"Überfliege den Text schnell, um den Hauptinhalt einzubeziehen.","Přeleć tekst spěšnje, zo by hłowny wobsah zapřijała."
Ferner sind erkrankte Katzen schlapp und schlaff.,Dale su schorjene kóčki słabe a bjezmócne.
"Ausschnitt aus der Landschaftssphäre, der die natürliche Umwelt des Menschen ist.","Wurězk z krajinoweje sfery, kotraž je přirodny wobswět čłowjeka."
"Schau genau hin, die Muster im Kaffeesatz sind nie zufällig.","Hladaj dokładnje, mustry w mućenku njejsu ženje připadne."
"Er war eifersüchtig auf die Vogelwelt, die über die ganze Welt fliegt.","Bě žarliwy na ptačinu, kiž po wšěm swěće lěta."
Die durch den Trichter gedrückte rote Dünnflüssigkeit lässt die Schweineeingeweide aufquellen.,Přez lik tłóčena čerwjena židkizna swinjacym črjewam bubnić da.
"Nicht die Wirtschaft, sondern die Politik hat für ihn Vorrang.","Nic hospodarstwo, ale politika je za njeho najwažniše."
Zudem werden sich dort auch Paare das Ja-Wort geben können.,Nimo toho budu sej tam tež poriki haj prajić móc.
"Einkaufen, Staubsaugen, Wäsche waschen oder die Kinder in die Kita bringen.","Nakupować, proch srěbać, šaty płokać abo dźěći do pěstowarnje přewodźeć."
Man muss immer mit dieser rechnen.,Z njej dyrbiš stajnje ličić.
Zwei von den neuen Lehrern sind an sorbischen Schulen tätig.,Dwajo z nowych wučerjow skutkujetaj na serbskej šuli.
Er scheint mir nicht gerade der Klügste zu sein.,Njezdawa so runje najmudriši.
Sie protestieren immer wieder gegen den Tagebau.,Protestuja zaso a zaso přećiwo jamje.
Er erhöhte auf 0:2 (14.).,Wón zwyši na 0:2 (14.).
"Forschungen unterliegen gesetzlichen Beschränkungen, wenn sie geeignet sind, die Menschenwürde zu verletzen.","Slědźenja podleža zakonskim wobmjezowanjam, hdyž hodźa čłowjesku dostojnosć zranić."
Dieser war ein Import aus Afghanistan und wertvoller als Gold.,Tutón bě import z Afghanistana a drohotniši hač złoto.
Wetter und Klima – Es gibt Unterschiede!,Wjedro a klima – Su rozdźěle!
Hab gute Laune!,Budź wjesołeje mysle!
"Kosel bezeichnet das als „Einschüchterungseffekt“, der erreicht wurde.","Kosel mjenuje to „zatrašenski efekt“, kiž bu docpěty."
"Die Hembjerki sind in primärer Bedeutung auf Deutsch ‚Spitzbogen, Hängegebälk‘.","Hembjerki su w primarnym woznamje němsce ‚Spitzbogen, Hängegebälk‘."
"Wenn du sie wieder anrufst, dann schlägt's dem Fass den Boden aus!","Hdyž zaso pola njeje zazwoniš, potom wudyri to sudej dno!"
Auch in anderer Hinsicht erwies sich Weimer als flexibel.,Tež w druhim nastupanju wopokaza so Weimer jako fleksibelny.
Nenne die typischen Merkmale des Monsuns im südlichen Asien.,Mjenuj typiske přiznamjenja monsuna w južnej Aziji.
Ich freue mich auf die Antwort und sende liebe Grüße!,Wjeselu so na wotmołwu a sćelu luby postrow!
Der Kapitän des großen Schiffes wird den Anker auswerfen.,Kapitan wulkeje łódźe wućisnje kótwicu.
Die Bevölkerung Japans ist ungleichmäßig verteilt.,Wobydlerstwo Japanskeje je njestajnje rozdźělene.
"Man darf nicht das Gras wachsen hören, sonst wird man einmal taub.","Njesměš trawu rosć widźeć a słyšeć, hewak budźeš jónu hłuchi."
Das ist mein Pferdegespann.,To je mój konjacy zapřah.
Durch abrutschende oder herabfallende Gesteinsmassen bestand Unfallgefahr.,Přez so wotsuwace abo dele spadowace kamjentne masy wobsteješe strach njezboža.
Klassisch gefiltert wird Kaffee hierzulande noch immer am liebsten getrunken.,Klasisce filtrowany so kofej w tutym kraju přeco hišće najradšo pije.
"Das ist jener Soldat, den ich suche.","To je wony wojak, kotrehož pytam."
Bei Bedarf gibt es donnerstags einen weiteren Kurs.,Při potrjebje zarjaduje so přeco štwórtk dalši kurs.
Besonders stark reagieren Schafe auf das Virus.,Wosebje raznje wowcy na wirus reaguja.
"Ich werde dich nicht anrufen, wenn ich darüber nachgedacht habe.","Njezazwonju pola tebje, hdyž sym wo tym rozmyslował."
Er ist an der Kirche in Kreba begraben.,Wón je pochowany při cyrkwi w Chrjebi.
Ich freue mich über eine Rückmeldung.,Wjeselu so nad wotmołwu.
Der Mann ist als Wärmflasche auch gut zu gebrauchen.,Muž je tež jako wohrěwanska bleša derje wužiwajomny.
Milch wird produziert.,Produkuje so mloko.
Angesichts der Zirkulation mutierter Stämme des SARS-CoV-2-Virus muss man sich keine Sorgen machen.,Hladajo na cirkulaciju mutěrowanych zdónkow SARS-CoV-2-wirusa njedyrbiš so starosćić.
Die Natur wird mit blühenden Blumen und satten Farben erwachen.,Přiroda wotući z kćějatymi kwětkami a z nasyćenymi barbami.
Die menschliche Variante jener Gehirnerkrankung ist unter dem Namen Creutzfeldt-Jakob bekannt.,Čłowječa warianta woneho schorjenja mozow je pod mjenom Creutzfeldt-Jakob znata.
Wirtschaftsmacht Japan.,Hospodarska móc Japanska.
Vom Aufstieg eines kleinen Fischerdorfes zur größten Metropole Chinas.,Wo postupje małeje rybarskeje wjeski k najwjetšej metropoli Chiny.
Jedes Kind war stolz und freute sich über den Applaus der Anwesenden.,Kóžde dźěćo bě horde a wjeseleše so nad aplawsom přitomnych.
Ich habe ihm zur Geburt seines Sohnes gratuliert.,Ja sym jemu k porodej jeho syna gratulował.
Außerdem verkauft sich der Saft manchmal auch in gläsernen Einwegflaschen.,Nimo toho předawa so brěčka druhdy tež w škleńčanych wotpadkowych blešach.
"13 Fabrikate erhielten daher das Qualitätsurteil »gut«, fünf waren »zufriedenstellend«.","13 fabrikatow dósta tuž kwalitny wusud »derje«, pjeć běchu »spokojace«."
Tom hat beim Streichen des Zauns Farbe ans Hemd bekommen.,Tom je při barbjenu płota barbu na košlu dóstał.
"Jesus sagt: „Du vertraust mir, darum wirst du sehen.“","Jězus praji: „Dowěriš mi, tehodla budźeš widźeć.“"
"Das war kein normaler Amtsvorgang, sondern eine Kampagne.","To njebě normalny hamtski proces, ale kampanja."
"Je kälter sie ist, umso weniger Wasserdampf kann sie aufnehmen.","Čim chłódniši je, ćim mjenje wódneje pary móže přijimać."
Das rächt sich sicherlich wie das Amen in der Kirche.,To wjeći so zawěsće kaž hamjeń w cyrkwi.
In den Ministerien in Dresden ist Homeoffice sogar angeordnet.,W ministerstwach w Drježdźanach je dźěło wot doma samo přikazane.
Die Zimtrinde verleiht vielen Gerichten ein warmes und würziges Aroma.,Skorica dawa mnohim jědźam ćopłu a korjenitu aromu.
Dies sollte eine Befragung zu den Ernährungsgewohnheiten sein.,Tole by dyrbjało naprašowanje wo zežiwjenskich zwučenosćach być.
Darauf folgen Probleme und Kritiken des Glaubens.,Na to sćěhuja problemy a kritiki wěry.
Der dritte sorbische Kandidat Heiko Kosel hat keine reelle Chance.,Třeći serbski kandidat Heiko Kosel žanu realnu šansu nima.
Mit unseren drei Dehnübungen kannst du das Gewebe entspannen.,Z našimi třomi naćehnjenskimi zwučowanjemi móžeš tkaninu wotpinać.
Die ursprüngliche Bedeutung war in den slawischen Sprachen also eine positive.,Prěnjotny woznam běše w słowjanskich rěčach potajkim pozitiwny.
Nicht zuletzt müssen die Verantwortlichen sensible Naturgebiete überqueren.,Nic naposledk dyrbja zamołwići sensibelne přirodne kónčiny přeprěčić.
Donald Trump ist ein Wiedergänger dieser Tradition von Machtausübung.,Donald Trump je nowonakład tuteje tradicije wukonjenja mocy.
Dieser nährstoffarme Boden wird auch als Rotlehm oder Ferralsol bezeichnet.,Tuta na wutki chuda póda so tež jako čerwjenohlina abo feralsol woznamjenja.
Koordinierung der Termine ist für ihn immer eine besondere Herausforderung.,Koordinowanje terminow je jemu přeco wosebite wužadanje.
Herzlich begrüßen wir Sie hier nach Piskowitz zum Pfingstprogramm.,Wutrobnje witamy Was tu do Pěskec na swjatkowny program.
Hier ist aber eine Therapie mit Jod empfehlenswert.,Tu pak je terapija z rjasykom poručomna.
Das gilt auch nach ihrem Ausscheiden aus dem jeweiligen Gremium.,To płaći tež po jich wotchadźe z wotpowědneho gremija.
Sie wird als „jugendliche“ in allen Kirchgemeinden gesungen.,Wona so jako „młodźinska“ we wšěch wosadach spěwa.
"Es stimmt mich traurig, dass du diese Stadt verlassen wirst.","Zrudźi mje, zo wopušćiš tute město."
"Was hilft, solche Gewalt zu überwinden?","Što pomha, tajku namóc přewinyć?"
Diese Sorgen sind nicht unberechtigt.,Tute starosće njejsu njewoprawnjene.
Lass das Buch liegen!,Wostaj knihu ležo!
"Bin Laden tauchte unter, wurde Symbolfigur des Terrors.","Bin Laden so schowa, sta so za symbolowej postawu terora."
Die Informationen des Energiekonzerns zum neuen Revierkonzept stoßen auf Kritik.,Informacije energijoweho koncerna wo nowym rewěrowym koncepće wjedu ke kritice.
"Besonders bei kleinen Katzen droht die Gefahr, dass sie lange Schleifen verschlucken.","Wosebje pola małych kóčkow hrozy strach, zo dołhe sekle spóžěraja."
"Auch ständiges Stehen, Nachtarbeit und Sonn- und Feiertagsarbeit zählen dazu.","Tež stajne staće, nócne dźěło a dźěło njedźelu a swjaty dźeń liča k tomu."
"Maria half ihrer Mutter dabei, den Garten zu bewässern.",Marija pomhaše maćeri zahrodu pokrjepić.
In der Zwischenzeit hat ein Mann meterlange gummiartige Blätter herangeschafft.,Mjeztym je muž meterske gumijojte łopjena nanosył.
"Wenn man Charakter besitzt, begegnen einem typische Erlebnisse immer wieder.","Hdyž wobsedźiš charakter, stanu so ći typiske dožiwjenja zaso a zaso."
Verkehr: Wichtiger Knotenpunkt für internationale Flüge und Fracht.,Wobchad: Wažne křižnišćo za mjezynarodne lěty a wjezwo.
Ebenfalls im Test sind Duo-Matratzen mit zwei unterschiedlich harten Liegeseiten.,Tohorunja w tesće su duo-matracy ze wšelako twjerdymaj lěhanskimaj stronomaj.
Der Text illustriert die Bilder.,Tekst ilustruje wobrazy.
"Sie überredeten die Leitenden Sozialdemokraten der sowjetischen Zone zur Vereinigung, den Widerstand zu überwältigen.","Woni nawjedowacych socialdemokratow sowjetskeho pasma k zjednoćenju přerěčachu, spjećowanje přewinyć."
In der heutigen Sitzung werden die Präsidiumsmitglieder über den endgültigen Vorschlag abstimmen.,Na dźensnišim posedźenju čłonojo prezidija wo doskónčnym namjeće wothłosuja.
"Na, viel Glück und Hals- und Beinbruch!","Na, wjele zboža a wšo dobre!"
Sie thematisiert die Bemühungen um den Druck des ersten niedersorbischen Gesangbuches.,Tematizuje prócowanja wo ćišć prěnich delnjoserbskich spěwarskich.
Kinder spielen an einem Fluss in Kambodscha.,Dźěći hrajkaja sej při rěce w Kambodźi.
Aber das kann ja nicht das Einzige sein!,Ale to wšak njemóže to jeničke być!
Bildet kleinere Gruppen und vertieft eure Kenntnisse über die Musik des Mittelalters.,Wutworće mjeńše skupiny a pohłubšće swoje znajomosće wo hudźbje srjedźowěka.
Sie wird regelmäßig aktualisiert und lässt sich filtern.,Wona so prawidłownje aktualizuje a hodźi so filtrować.
Entzündungen des mittleren und inneren Bereichs des Ohres sind oft sehr grässlich.,Zahorjenja srjedźneho a nutřkowneho wobłuka wucha su často jara wohidne.
Er hängt einer vagen Vision von Rätedemokratie an.,Wón přiwisuje wagnej wiziji wo radowej demokratiji.
"Aber alle erschienen ihr zu plump, zu neugierig, zu aufdringlich, zu indiskret.","Ale wšitcy zdachu so jej přenjelepi, přewćipni, přenawalni, přeindiskretni."
Viele verlassen dieses Gebiet.,Mnozy wopušća tutu kónčinu.
Mit Trockenestrich gleichen sie Unebenheiten in Böden aus.,Ze suchim estrichom wurunuja njerunosće w pódach.
Die Sammlung ist nicht komplett.,Zběrka njeje kompletna.
Von Bayern bis ins Saarland wird es ungemütlich und regnerisch.,Wot Bayerskeje hač do Posaarskeje budźe njepřijomne a dešćikojte.
Im Jahr 2003 waren es zehn Uraufführungen in vierzehn Konzerten.,Lěta 2003 bě to dźesać prapremjerow w štyrnaće koncertach.
Im Test der Stiftung Warentest kamen die Geräte aber gut weg.,W tesće załožby Warentest pak nastroje derje wobstachu.
"Auf dem Markt kauften wir Pfirsiche, Artischocken, Zucchinis, Erdbeeren und Auberginen.","Na wikach kupowachmy brěški, artišoki, zucchinije, truskalcy a auberginy."
Beim Kauf anderer Produkte Augen auf:,Při kupje druhich produktow woči wočinjeć:
Der Sünder muss seine Sünden bekennen und Gott wird ihm vergeben.,Hrěšnik dyrbi swoje hrěchi wuznać a Bóh jemu woda.
Er hat vor allem die Parteien der bürgerlichen Mitte zertrümmert.,Wón je předewšěm strony byrgarskeje srjedźizny rozbił.
In der DDR waren Broilerkeulen ein beliebtes Festtagsgericht.,W NDR běchu broilerowe nóžki woblubowana swjedźenska jědź.
Mitte April wird Brechowa in diese Funktion berufen.,Srjedź apryla Brechowu do tuteje funkcije powołuja.
Lass uns die paar Schritte zu Fuß gehen!,Běhajmoj tych por kročelow pěši!
"Sie hat ihm alles beigebracht, was sie wusste.","Je jeho wšitko nawučiła, štož wona wědźeše."
"Die Unklarheiten in den Wahlunterlagen sind aus der Welt geschafft, teilte gestern das Landratsamt mit.","Njejasnosće we wólbnych podłožkach su wotstronjene, zdźěli wčera krajnoradny zarjad."
Rückenschmerzen gehören zu den häufigsten Beschwerden in Deutschland.,Chribjetne bolosće słušeja k najhusćišim wobćežnosćam w Němskej.
Zumal es noch eine weitere Umwertung gibt.,Wšako je hišće dalše přehódnoćenje.
Denn der wütende kleine Bauer würde hier zu allem fähig sein.,Přetož roznjemdrjeny burik by tu ke wšemu kmany był.
Herzlich willkommen in Crostwitz!,Wutrobnje witajće do Chrósćic!
Mit melancholischer Ironie schildert er den Niedergang des sizilianischen Adelsgeschlechts.,Z melancholiskej ironiju wopisuje wón rozpad sicilskeho zemjanskeho rodu.
Sie beurteilen und bewerten Entsorgungsangebote und -lösungen.,Woni posudźuja a hódnoća poskitki a rozrisanja wotstronjenja wotpadkow.
In christlicher Tradition werden die meisten Gräber nach wenigen Jahrzehnten eingeebnet.,W křesćanskej tradiciji so najwjace rowow po mało lětdźesatkach zruna.
Der Höhepunkt der Buchvorstellung war die Lesung aus dem Buch in Rätoromanisch.,Wjeršk knižneje prezentacije bě čitanje z knihi w retoromanšćinje.
Tom hat die Arbeit wahrscheinlich nicht selbst erledigt.,Tom njeje dźěło najskerje sam sčinił.
Probieren sie die Handhabung vor dem Kauf aus.,Wuspytajće wužiwanje před kupom.
Andere Länder sind da weiter.,Druhe kraje su tam dale.
Pfarrer Tilmann Popp ist in der Studentengemeinde Dresden tätig.,Farar Tilmann Popp skutkuje w studentskej wosadźe w Drježdźanach.
Die ehemalige Leiterin der Energiefabrik Knappenrode hat sie koordiniert.,Bywša nawodnica Hórnikečanskeje Energijoweje fabriki je ju koordinowała.
Es ist auch das Werk der EU selbst.,To je tež wuskutk EU sameje.
Doch das Paradies war nicht ungestört.,Tola paradiz njebě njemyleny.
"3. Lage der Fronten und deren Bewegung, Wettervorhersage.","3. Połoženje frontow a jich pohibowanje, předpowědź wjedra."
Babywindeln und Leute an der Macht müssen regelmäßig gewechselt werden.,Babyjowe pjeluški a ludźi při mocy dyrbja so prawidłownje wuměnjeć.
Für mich war das eine völlig neue Situation.,Za mnje bě to dospołnje nowa situacija.
Gerade das aber sollte sich hinsichtlich der Nachwuchsgewinnung ändern.,Runje to pak měło so hladajo na zdobywanje dorosta změnić.
Nach Ablauf des Visums muss er das Land verlassen.,Po skónčenju wizuma dyrbi wón kraj wopušćić.
"Ob der Schlüssel Außen- oder Innengewinde besitzt, ist nicht einheitlich festgelegt.","Hač wobsedźi kluč wonkowne abo nutřkowne wića, njeje jednotnje postajene."
Teilweise übernehmen sie routinemäßige Wartungsaufgaben auch selbst.,Zdźěla přewozmu woni rutinowe hladanske nadawki tež sami.
Sie beruht auf der Unterscheidung zwischen Rahmenvorschriften und abgeleiteten Vorschriften.,Wona bazuje na rozeznawanju mjez wobłukowymi předpisami a wotwodźenymi předpisami.
Sehr enttäuscht und weinend verleben die zwei ihre letzte Nacht auf dem Feld.,Jara přesłapjenej a płakajo přežiwitej swoju poslednju nóc na polu.
Solche Verbrechen entstehen nur aus paranoiden Fantasien.,Tajke njeskutki nastawaja jeničce z paranoidnych fantazijow.
Am selben Tag nachmittags werden die Maćica-Mitglieder ihre Haupt- und Wahlversammlung haben.,Samsny dźeń popołdnju změja Maćicarjo swoju hłownu a wólbnu zhromadźiznu.
"Nicht böser Wille ist am Werk, sondern die Vertracktheit der modernen Verhältnisse, der Zeitläufte.","Nic lóza wola skutkuje, ale zašmjatanosć modernych poměrow, časow."
