hsb,dsb
Cyrkej chce ze statom a zastupjerjemi lajkow wo znjewužiwanju rěčeć.,Cerkwja co ze statom a zastupnikami lajkow wó znjewužywanju powědaś.
1934 sedźachmy jónu w nocy na Chróšćan farje.,1934 smy sejźeli raz w nocy na chrósćańskej farje.
"Wona jakotaše cyła čerwjena w mjezwoču, a zapłaka wótře.","Wóna jo ceła cerwjena w woblicu jěkotała, a jo zapłakała głosnje."
"Na wuwěškowej tafli sym čitała, zo je běrow jutře zawrjeny.","Na pśibitkowej tofli som cytała, až jo běrow witśe zacynjony."
Ryćerkubła su nimale wšě w rukach němskich wobsedźerjow.,Ryśerkubła su pśisamem wšykne w rukach nimskich wobsejźarjow.
"To měni přirjadnica Budyskeho krajneho rady, kotraž je naprašowanje nastorčiła.","To měni pśirědowana budyšyńskego krajnego raźca, kótaraž jo póstarcyła napšašowanje."
Zrěčenje płaći wot januara 2016 hač do kónca lěta 2017.,Dogrono płaśi wót januara 2016 až do kóńca lěta 2017.
Jězba traješe město připowědźenych dźesać hodźinow nimale štyrnaće.,Jězba jo trała město pśipowěźonych źaseś góźinow pśisamem styrnasćo.
Někotre serbske šule maja na tutym polu hižo pozitiwne nazhonjenja.,Někotare serbske šule maju na toś tom pólu južo pozitiwne nazgónjenja.
"Stefan Brangs tuž namołwi, poskitk za internetny přizamk nětko wužiwać.","Stefan Brangs toś jo napominał, něnto wužywaś pórucenje za internetne pśizamknjenje."
Nastupajo modus připokazanych krajnych srědkow pak chcedźa ewaluaciju wočaknyć.,Nastupajucy modus pśipokazanych krajnych srědkow pak kśě ewaluaciju wótcakowaś.
Tale twórba informuje a wuwědomja ze skromnymi wuměłskimi srědkami.,Toś ta twóŕba informěrujo a wuwědobnijo z jadnorymi wuměłskimi srědkami.
Tola tež hospodarski wobłuk je jeje nadawk towaršnosće.,Ale teke góspodaŕski wobłuk jo jeje nadawk towarišnosći.
Što namaka čitar abo spěwar w tutej knize?,Co namakajo cytaŕ abo spiwaŕ w toś tych knigłach?
"W Slepom, hdźež ma Nowy Miłoraz nastać, woni tójšto namakachu.","W Slěpem, źož ma  nastaś Nowy Miłoraz, su wóni wjele namakali."
44 motiwow z Hornjeje Łužicy je wón rysował.,44 motiwow z Górneje Łužyce jo wón kreslił.
Na lětušej hłownej zhromadźiznje Maćicy Serbskeje wočakowaše wopytowarjow najwjetša překwapjenka.,Na lětosnej głownej zgromaźinje Maśice Serbskeje jo cakało na woglědowarjow nejwětše pśechwatanje.
Na naměsće před stadionom knježeše njemdra rjejeńca.,Na naměsće pśed stadionom jo se kněžyło rozgórjone ricanje.
"Wona njehiba so, njerěči, na ničo njereaguje, woprawdźe nic.","Wóna se njegibjo, njepowěda, na nic njereagěrujo, napšawdu nic."
Tema brunica rozdwóji łužiske wobydlarstwo.,Tema brunica rozdwój łužyske wobydlaŕstwo.
Rjana wokolina dokoławokoło słodarnje wita wopytowarja a wubudźa dobru naladu.,Rědna wokolina kołowokoło słodarnje wita woglědowarja a buźi dobru mysl.
Kedźbyhódny je přehlad wobsaha na zadnich stronach knihi.,Późiwanja gódny jo pśeglěd wopśimjeśa na slěznych bokach knigłow.
"Pomnikoškit zapołoža kriterije, po kotrychž ma Dittrich předmjet restawracije wobnowić.","Šćit pomnikow zapołožujo kriterije, pó kótarychž ma Dittrich wobnowiś pśedmjat restawracije."
Wón bě čłon gmejnskeje rady w Rušicy pola Halštrowa.,Wón jo był cłonk gmejnskeje rady w Rušicach pla Halštrowa.
"Na pólnej mjezy steješe nadobo stara žona, kotraž jemu přiwoła.","Na pólnej mjazy jo stojała naraz stara žeńska, kótaraž jo jomu pśiwołała."
Nichtó njebudźe Franciskusowu sprawnosć jako wočornjowanje a pačenje wukładować.,Nichten njebuźo Franciskusowu spšawnosć wukładowaś ako wócarnjenje a rozšćěpjenje.
"Njechodź z mokrymi włosami won, hewak so nazymniš!","Njechójź z mokšymi włosami wen, howacej se nazymnijoš!"
Naposledk dachmy sej solotej z kołbaskami zesłodźeć.,Naslědku smy sebje dali salat z jěšnicami zesłoźeś.
Powědam wam dźensa wo prěnich nazymskich koncertach a karpach.,Wulicujom wam źinsa wó prědnych nazymskich koncertach a karpach.
Załožbowa komisija schadźuje so po potrjebje.,Załožbowa komisija schadujo se pó pótrjebje.
Wona wukonja zastojnstwo hač do lěta 2021.,Wóna wugbajo amt až do lěta 2021.
Iniciěrowanje a spěchowanje inowatiwnych projektow z wulkim wuprudźenjom.,Iniciěrowanje a spěchowanje inowatiwnych projektow z wjelikeju wucynjatosću.
"Zlěpće dokładnje wottřihane nitki na taflu, a to nad liniju.","Pśilipśo dokradnje wótrězane nitki na toflu, a to nad liniju."
"Populisća twjerdźa rady, jednore rozrisanja za ćežke problemy znać.","Populisty raźi twarźe, jadnore rozwězanja za śěžke problemy znaś."
Štó z was znaje spěw abo powědku wo wódnym mužu?,Chto z was znajo spiw abo powěsć wó nykusu?
Skutkownosć třěšneho zwjazka a zhromadnosć towarstwow.,Skutkownosć třěšneho zwjazka a zhromadnosć towarstwow.
Wobsydnik historiskeho Zarěčanskeho wětrnika je nětko Njeswačanska gmejna.,Wobsejźaŕ historiskego zarěčańskego wětšnika jo něnto njeswačańska gmejna.
Dźensa předstaju Wam dźělne wuslědki z Chrósćic a Ralbic.,Źinsa pśedstajam Wam źělne wuslědki z Chrósćic a Ralbic.
"Započinamy z našim pućowanjom w Africe, tam steji kolebka čłowjestwa.","Zachopijomy z našym drogowanim w Africe, tam stoj kólebka cłowjestwa."
Němsko-Serbske ludowe dźiwadło putaše wosebje małych hosći z jutrownej klankohru.,Nimsko-Serbske ludowe źiwadło jo pśejmało wósebnje małych gósći z jatšownym pupkowym graśim.
Žana wosoba njesmě so přez njepoměrnje wysoke zarunanje polěkować.,Žedna wósoba njesmějo se pśez njepoměrne wusoke zarownanje spěchowaś.
Wo spožčenje čestneho čłonstwa rozsudźi hłowna zhromadźizna.,Wó spósćenju cesnego cłonkojstwa rozsuźijo głowna zgromaźina.
Z ćahom jědźemoj z lětnjeje horcoty wulkoměsta do bosniskich horin.,Ze śěgom jěźomej z lěśojskeje górcoty wjelikego města do bosniskich górow.
Tež powołanje kapitana na dowolowej łódźi abo na podnurjaku je powabne.,Teke pówołanje kapitana na kołojězdnej abo pódwódnej łoźi jo pówabne.
Dwě hodźinje młóćachmy a potom hakle dóstachmy snědań.,Dwě góźinje smy młośili a pótom smy akle dostali snědanje.
Wona ma so tam na niši staw přinjesć a zdźeržeć.,Wóna dej se tam na nišy staw spóraś a zdźaržaś.
Wona narodźi so do burskeje swójby w Smělnej.,Wóna jo se naroźiła do burskeje familije w Smělnej.
"Zo so holcy přeměnjeja, je cyle normalne, praji mać.","Až se źowća pśeměnjaju, jo ceło normalne, jo groniła maś."
"Cyle jednora wěc, to sej znajmjeńša husto myslimy.","Ceło jadnora wěc, to se nanejmjenjej cesto myslimy."
"Jasna, na kislik bohata woda je za jeje žiwjenje njeparujomna.","Jasna, na kislik bogata wóda jo za jogo žywjenje njewuzbytna."
Na kotrej šuli su kelko wučerjow přistajili so njewozjewja.,Na kótarej šuli jo se wjele wucabnikow pśistajiło njejo se wózjawiło.
Dalše jězby z busom wjedźechu do milinarnje.,Dalšne jězdy z busom su wjadli do milinaŕnje.
Tež wohnjowe wobory wot něhdy a dźensa prezentowachu so wjacore.,Teke wognjowe wobory wót něga a źinsa su se prezentěrowali někotare.
Mi je so doporučiło muskej wujkaj hromadźe dźeržeć.,Mě jo se pśiraźiło źaržaś muskecej móŕskej swince gromaźe.
"To bě wam swjedźeń, wažniši hač druhi swjatk.","To jo był wam swěźeń, wažnjejšy nježli drugi swěźeń."
Jeja jako přiměšk do twaršćiznow njeběchu tak njewšědne.,Jaja ako pśidank do twaŕskich maśiznow njejsu byli tak njewšedne.
Tule njeje ani kwadratneho metra za chore dźěćo.,How njejo razka kwadratnego metra za chóre góle.
"Najwažniše je Bukečanske serbske towarstwo, kiž přez wosomdźesać sobustawow liči.","Nejwažnjejše jo Bukecańske serbske towaristwo, kenž pśez wósymźaset cłonkow licy."
"Dźěći nimaja krutu stronu, ale krute městno w Posole.","Źiśi njamaju kšuty bok, ale kšute městno w Pósole."
Naš druhi najrjeńši hólc přińdźe z Wochoz.,Naš drugi nejrědnjejšy gólc pśiźo z Wochoz.
Dowjedź Sněholinku won do lěsa a zatřěl ju!,Dowjeź Sněžeńku wen do góle a zastśěl ju!
"Skedźbnić chcu tež na 2. nakład wučbnicy „Słuchaj, čitaj, powědaj“.","Pokazaś kśěł teke na 2. nakład wucbnice „Słuchaj, cytaj, wulicuj“."
Iniciatiwa mjenuje so „Strukturna změna nětko – žane Wochozy II“.,Iniciatiwje se groni „Strukturna změna něnto – žedne Wochozy II“.
Dotalne zrěčenje z kultusowym ministerstwom wuběži klětu zaso.,Doněntejšne dogrono z kultusowym ministaŕstwom se wótběžyjo znowa zasej.
Próstwa wo přistup k sydlenskemu rumej zda so logiski krok.,Pšosba wó pśistup k sedleńskemu rumoju zda se logiski kšac.
Běše to wobkrućenje jeho swěrneje słužby a njesměrne hódnoćenje.,Jo to wobtwarźenje jogo zwěrneje słužby a njesměrne gódnośenje.
Wokrjes chce wukrajnikow lěpje do towaršnosće integrować.,Wokrejs co wukrajnikow lěpjej do towarišnosći integrěrowaś.
Wone so wot 18 wšelakich nošerjow wobhospodarja.,Wóni se wót 18 wšakich nosarjow wobgóspodarjuju.
Z někotrymi typami nowotwórbow cuzeho pochada chcemy so tu zaběrać.,Z někotarymi typami nowych twórjenjow cuzego póchada comy se how zaběraś.
"Talerje so rozbichu, po tym šalki, kany a škleńcy.","Talarje su se rozbili, pó tom taski, kany a głažki."
Katolska cyrkej budźe katolske serbske kulturne herbstwo zachować a škitać.,Katolska cerkwja buźo katolske serbske kulturne derbstwo zachowaś a šćitaś.
Woni trenowachu za zasadźenje we wójnskich kónčinach niske lěty.,Wóni su treněrowali za zasajźenje we wójnskich stronach niske lěty.
Tute metale wužiwaja so za mnohe wšelake technologije.,Toś te metale wužywaju se za wjele wšakich technologijow.
Wot lěta 2011 wobsteja w někotrych wosadach „Serbske bjesady“.,Wót lěta 2011 wobstoje w někotarych wósadach „Serbske rozgrona“.
"Mój syn njemóže dźensa do šule přińć, dokelž je chory.","Mój syn njamóžo źinsa do šule pśiś, dokulaž jo chóry."
"Doniž zwónčk njezaklinči, běži wětrnik sam.","Tak dłujko ako zwónašk njezaklinka, běžy wětšnik sam."
Festiwal transNaturale je najwažniše a najwuznamniše zarjadowanje w Hamorskej gmejnje.,Festiwal transNaturale jo nejwažnjejše a nejwuznamnjejše zarědowanje w Hamorskej gmejnje.
Čert a Wjera tykaštej hłowje hromadźe a šeptaštaj sebi něšto.,Cart a chódota stej głowje gromaźe zatkałej a sebje něco šepotałej.
W přizemju móža sej wopytowarjo měnjace wustajeńcy domoródnych wuměłcow wobhladać.,Pśi zemi mógu sebje woglědowarje woglědaś měnjece wustajeńce domacnych wuměłcow.
Za (nimale) kóždy słód běše něšto pódla.,Za (pśisamem) kuždy słod jo był něco pódla.
Pola šulow bjez tajkich poskitkow jedna so wo sydom šule.,Pla šulow bźez takich póbitowanjow jadna se wó sedym šulow.
Wonaj diktowaštaj mi wčera dołhu bajku z jara spodźiwnym kóncom.,Wónej stej mě cora dłujku bajku z wjelgin źiwnym kóńcom diktěrowałej.
Kóždy smě so z wjacorymi technikami na wubědźowanju wobdźělić.,Kuždy smějo se z někotarymi technikami na wuběźowanju wobźěliś.
Serbska modlitwa na słowa Zejlerja bu znajmjeńša dwójce předstajena.,Serbska módlitwa na słowa Zejlerja jo se nanejmjenjej dwójcy pśedstajiła.
Znowa poča do duri dumpać a wótře wołać.,Znowego jo chopił do źuri klapaś a głosnje wołaś.
"Klikńće na  w meniju , zo byšće swoje přidatki rjadował.","Klikniśo na  w meniju , aby swóje dodanki zastojał."
"A Kašpork prašeše so, dźěći, sće wy wšitcy tu?","A Kasparik jo se pšašał, źiśi, sćo wy wšykne how?"
"Jednotliwe towarstwa buchu namołwjene, za dźěći čłonow młodźinske skupiny załožić.","Jadnotliwe towaristwa buchu napominane, za źiśi cłonkow młoźinske kupki załožyś."
"Třepotaca jehlička pokazowaše na sto, ale motor bě lědma słyšeć.","Tśěskotajuca glicka jo pokazowała na sto, ale motor jo lěbda był słyšaś."
"Kofejownja z wuprajiwym mjenom přetorhnjenje přeproša, raz přestawku popřeć.","Kafejownja z charakteristiskim mjenim Pśestawka pśepšosujo, raz pśestawku cyniś."
"Stajnje maja tež nowe produkty, w lěću wězo předewšěm lodu.","Stawnje maju teke nowe produkty, w lěśu se wě pśedewšym loda."
Mam kuzłarski kij a kuzłarsku knihu jako pomocnika.,Ja mam guslowaŕski kij a guslowaŕske knigły ako pomocnika.
To so wězo tež na dojutrowny póstny čas poćahuje.,"To se póśěgujo , se wě, teke na dojatšowny spótny cas."
Předźěłany koncept nadawkow zmóžni tu diferencowane dźěło ze šulerjemi.,Pśeźěłany koncept nadawkow zmóžnijo how diferencěrowane źěło z wuknikami.
Dawid Statnik zastupuje zdwórliwosć we tutym konflikće.,Dawid Statnik zastupujo zdwórliwosć w toś tom konflikśe.
Tuž so radźićeljo wo poslednim naćisku dojednachu.,Togodla su se raźce dojadnali wó slědnej pśedłoze.
Biskop Spülbeck wutwori tohodla w nalěću 1968 koordinacisku komisiju.,Biskop Spülbeck jo wutwórił dla togo w nalěśu 1968 koordinacisku komisiju.
Kolesa korejty běchu na kamjenjach spušćadła wisajo wostali.,Kólasa karejty su na kamjenjach pušćadła wisecy wóstali.
Simulowana hawarija žadaše sej spěšne zasadźenje.,Simulěrowana hawarija jo pominała malsne zasajźenje.
"Hdyž do nich dypny, so pupurčerwjenje zazybolichu.","Ako jo do nich pikotała, su kšejcerwjeny zazswěśili"
Žratwy je w bliskosći čłowjeka w nimale njewobmjezowanym mnóstwje.,Žraśa dawa w bliskosći cłowjeka dosć a nadosć.
Kraj zawrě so napřećo wonkownemu swětej.,Kraj  jo se zamknuł napśeśiwo wenkownemu swětoju.
Wone měli k tematisce šěrokej serbskorěčnej komunikaciji nastorki dawać.,Wóni měli póstarki dawaś k tematiski šyrokej serbskorěcnej komunikaciji.
Za nawodnicu Rěčneho centruma WITAJ bě słowo teleteaching rozsudne hesło.,Za wjednicu Rěcnego centruma WITAJ jo było słowo teleteaching rozsudne gronidło.
Wot 11 do 18 hodź. budu na statoku burske wiki.,Wót 11 do 18 zeger budu na byśu burske wiki.
Po pjeć hodźinskeje jězbje docpěchmy naš cil.,Pó pěś góźinskej jězbje smy dojśpili naš cil.
Chodźach po wichorojtych a dešćikowych dnjach.,Som chójźił pó wichorojtych a dešćojtych dnjach.
Wo tym wčera wječor w Serbskim domje w Budyšinje diskutowachu.,Wó tom su diskutěrowali cora wjacor w Serbskem domje w Budyšynje.
Wona pomha mi z njesprócniwej wutrajnosću.,Wóna mě pomoga z njewomucneju wutrajnosću.
Dźěłarnistwa wzdachu so za to zestatnjenja priwatnych zawodow.,Źěłaŕnistwa su se za to wzdali zestatnjenja priwatnych zawodow.
"Serbskosć budźe eksistować, dołhož to Serbja sami chcedźa.","Serbskosć buźo eksistěrowaś, tak dłujko ako kśě to Serby sami."
"Prašenje: """" je so wot prašerja  jako rozrisane markěrowało.","Pšašanje: """" jo se wót pšašarja  ako rozwězane markěrowało."
Rěčće abo pytajće sej někoho druheho za waš spodźiwny projekt!,Powědajśo abo pytajśo se někogo drugego za waš źiwny projekt!
Přěhračcy budu najebać modlenja přesłapjeni.,Zejgrawarje budu njeglědajucy na módlitwy wobtužone.
Podróšenje energije je njewobeńdźomne na polu industrije a priwatnje.,Pódrošenje energije jo njewobinjece na pólu industrije a priwatnje.
"Druhdy sebi praji, zo by lěpje było, rozum nałožować.","Casy sebje groni, až by lěpjej było, rozym nałožowaś."
Wšako bě dźě syn hejtmana mjez koparjemi był.,Wšako jo syn hejtmana był mjazy koparjami.
Němske kejžorstwo docpě wysoki stopjeń hospodarskeho a industrielneho postupa.,Nimske kejžorstwo jo dojśpiło wusoki stopjeń góspodaŕskego a industrielnego póstupa.
Maćerny dom pak chcyše sotry ze znajomosćemi pólskeje rěče wotpósłać.,Maśeriny dom pak jo kśěł wótpósłaś sotšy ze znajobnosćami pólskeje rěcy.
Z mojim mjechkliwym charakterom nimam so lochko.,Z mójim měknym charakterom njamam se lažko.
"Što su lěpšiny wašeho neuronalneho přełožowanskeho systema, kotryž dźensa předstajiće?","Co su lěpšyny wašogo neuronalnego pśełožowańskego systema, kótaryž źinsa pśedstajaśo?"
"To samo na sebi njeje ničo njewšědneho, njeby-li tak hinak wupadała.","To pópšawem njejo nic njewšednego, gaby tak hynac njewuglědała."
Něhdźe 100 zajimcow bě přeprošenju sćěhowało.,Něźi 100 zajmcow jo pśepšosenju slědowało.
Přitomny bě tež čestny sobustaw Günter Hoffmann z Małeje Nydeje.,Pśibytny jo teke cesny cłonk Günter Hoffmann z Małeje Nydeje.
Snadź sy samo hišće z brěmješkom starosćow žiwy.,Snaź sy samo hyšći z bundliškom starosćow žywy.
Při tym so w cyle rozdźělnych wobłukach wuwića wužaduja.,Pśi tom wupominaju se w ceło rozdźělnych wobłukach wuwiśa.
Pčołki móža jenož jónu kałnyć a wumrěja na to.,Pcołki mógu štapiś jano raz a wumrěju na to.
"Knježerstwo je přikazało, zo dyrbimy lutować.","Kněžaŕstwo jo pśikazało, až musymy žariś."
Chcemy straty za wobydlerjow tak znjesliwe kaž móžno dźeržeć.,Comy tšuśa za wobydlarjow tak znjasliwe ako móžno źaržaś.
Na nowy tydźeń přińdu molerjo a wšitko pisane pomoluja.,Na nowy tyźeń pśidu mólarje a wšykno pisane wobmóluju.
"Předewzam sej, zežiwidła kupić, kiž njejsu do plasty zapakowane.","Pśedewzejom sebje, kupiś žywidła, kótarež njejsu zapakowane do plasty."
Krótkosć wotmołwy w nowinje pokazowaše na rozmjerzanu policiju.,Krotkosć wótegrona w casniku jo pokazała na rozgórjonu policiju.
Referentka zhladowaše ze žónskeje perspektiwy na Marju Grólmusec.,Referentka jo glědała ze žeńskeceje perspektiwy na Marju Grólmusojc.
Žurnalistka nowiny Lausitzer Rundschau bu z pjenježnym mytom wuznamjenjena.,Žurnalistku casnika Rundschau su z pjenjeznym mytom wuznamjenili.
"Štož njemóžachu sobu wzać, spalichu.","Což njejsu mógali sobu wześ, su spalili."
Wy pytaće nowe powołanske wužadanje?,Wy pytaśo nowe pówołańske wupominanje?
Tak orientuje so wikowarstwo na jednej stronje na hitach.,Tak orientěrujo se wikowanje na jadnom boce na hitach.
Jama měješe po jeho měnjenju tu prawu hłubokosć.,Jama jo měła pó jogo měnjenju tu pšawu dłymokosć.
Wón sedźi na buku a swěći so žołty kaž słónčko!,Wón sejźi na buku a swěśi žołty kaž słyńco!
Wón płaći jako njezachodny mjez drohokamjenjemi.,Wón płaśi ako njezachadny mjazy drogotnymi kamuškami.
Gmejna je próstwu hromadźe ze serbskej radu přihotowała.,Gmejna jo pśigótowała pšosbu zgromadnje ze serbskeju radu.
"„To je dobra hra, ta so mi lubi“, wona praji.","„To jo dobre graśe, to se mě spódoba ”, wón jo groniła."
To chcu rady dźensa hišće za tebje sčinić.,To by rad hyšći źinsa za tebje cynił/-a.
Glaabec mustwo je najwjetši podpěraćel Kulowskeho karnewaloweho towarstwa.,Glaabojc mustwo jo nejwětšy pódpěraŕ kulojskego karnewalskego towaristwa.
Minjeny pjatk na hłownej zhromadźiznje su předsydstwo wuzwolili.,Slědny pětk na głownej zgromaźinje su wuzwólili pśedsedaŕstwo.
Přirodźe přiměrjene ratarstwo ma přichod a korjeni w přirodoškiće.,Pśiroźe pśiměrjone rolnikaŕstwo ma pśichod a kórjeni w šćiśe pśirody.
"„Trjebamy něšto, kak móžemy sej to lěpje zašćěpić“, zwěsći psyk.","“Trjebamy něco, kak móžomy sebje to lěpjej zašćěpiś”, zwěsćijo pjas."
"Atribut ""coords"" elementa  we formaće ""x1,y1,x2,y2 …"" njeje.","Atribut ""coords"" elementa  njejo we formaśe ""x1,y1,x2,y2 …""."
Kupa Madagaskar bě lětsa partnerski kraj Drježdźanskich turistiskich wikow.,Kupa Madagaskar jo była lětosa partnaŕski kraj Drježdźańskich turistiskich wikow.
Wón putnikowaše do Santiago de Compostela.,Wón jo putnikował do Santiago de Compostela.
We wobłuku projekta Serbskeho instituta bu situacija we Wuhelcu přeslědźena.,We wobłuku projekta Serbskego instituta jo se situacija we Wuhelcu pśepytowała.
Muzej Hórnikečanska energijowa fabrika ma so zakładnje přeměnić.,Muzej Hórnikecańska energijowa fabrika ma se zasadnje pśeměniś.
Spěwarki běchu sej rady Slepjansku kemšacu drastu woblěkali.,Spiwaŕki su se rad slěpjańsku namšaŕsku drastwu woblakli.
Zhromadnje z hišće dalšimi dźěłaćerjemi dyrbješe na nakładny wóz zalězć.,Gromaźe z hyšći dalšnymi źěłaśerjami jo dejał zalězć na nakładny wóz.
"Cyrkej je synodalna zhromadnosć křćenych, firmowanych, społnomócnjenych, pósłanych, wuswjećenych.","Cerkwja jo synodalna zgromadnosć dupjonych, firmowanych, społnomócnjonych, pósłanych, wuswěśonych."
W psychologiji rěči so wo kajkosćach wosobiny.,W psychologiji se powěda wó kakosćach wósobiny.
